id,ime,drzava,smuci
137941,WIKSTROEM  Emelie,SWE,Voelkl
148146,WILD  Simone,SUI,Fischer
139509,WILES  Jacqueline,USA,Rossignol
177596,WILLIBALD  Elisabeth,GER,Voelkl
146868,WINDINGSTAD  Rasmus,NOR,Head
104523,WIRTH  Barbara,GER,Voelkl
108666,WORLEY  Tessa,FRA,Rossignol
67696,YUASA  Naoki,JPN,Hart
148287,YULE  Daniel,SUI,Fischer
95237,YURKIW  Larisa,CAN,Rossignol
119474,ZAMPA  Adam,SVK,Salomon
149725,ZAMPA  Andreas,SVK,Salomon
137631,ZELLER  Lisa-Maria,AUT,Fischer
138578,ZENHAEUSERN  Ramon,SUI,Rossignol
68656,ZETTEL  Kathrin,AUT,Atomic
68886,ZRNCIC DIM  Natko,CRO,Atomic
146641,ZUBCIC  Filip,CRO,Atomic
117709,ZURBRIGGEN  Elia,SUI,Nordica
68533,ZURBRIGGEN  Silvan,SUI,Head
137645,ZVEJNIEKS  Kristaps,LAT,Fischer
